BRANCH_ID,BRANCH_NAME,REGION,CITY,STATE,COUNTRY,OPEN_DATE,STATUS
BR039,Karimnagar Bazaar,SOUTH,Karimnagar,TS,India,2020-12-24,ACTIVE
BR040,Trichy City Center,SOUTH,Trichy,TN,India,2018-04-23,ACTIVE
BR041,Kota Road,NORTH,Kota,RJ,India,2016-12-11,ACTIVE
BR042,Kozhikode Heights,SOUTH,Kozhikode,KL,India,2020-12-20,ACTIVE
BR043,Nashik Junction,WEST,Nashik,MH,India,2017-09-25,ACTIVE
BR044,Vijayawada Plaza,SOUTH,Vijayawada,AP,India,2019-06-21,ACTIVE
BR045,Ujjain Heights,CENTRAL,Ujjain,MP,India,2020-09-29,ACTIVE
BR046,Trichy Plaza,SOUTH,Trichy,TN,India,2025-10-28,ACTIVE
BR047,Kanpur Arcade,NORTH,Kanpur,UP,India,2016-08-23,ACTIVE
BR048,Patiala Street,NORTH,Patiala,PB,India,2022-01-20,ACTIVE
BR049,Varanasi Street,NORTH,Varanasi,UP,India,2024-02-02,ACTIVE
BR050,Nashik Bazaar,WEST,Nashik,MH,India,2016-03-29,ACTIVE
BR051,Aurangabad Street,WEST,Aurangabad,MH,India,2021-07-15,ACTIVE
BR052,Amritsar Road,NORTH,Amritsar,PB,India,2021-12-04,ACTIVE
BR053,Solapur City Center,WEST,Solapur,MH,India,2018-05-05,ACTIVE
BR054,Rohini Square,NORTH,Rohini,DL,India,2020-09-06,ACTIVE
BR055,Jodhpur Bazaar,NORTH,Jodhpur,RJ,India,2023-09-12,ACTIVE
BR056,Rohini Arcade,NORTH,Rohini,DL,India,2022-03-18,INACTIVE
BR057,Thane Highway,WEST,Thane,MH,India,2020-12-08,ACTIVE
BR058,Jodhpur Street,NORTH,Jodhpur,RJ,India,2019-03-09,ACTIVE
BR059,Agra Junction,NORTH,Agra,UP,India,2016-12-21,ACTIVE
BR060,Tirunelveli Square,SOUTH,Tirunelveli,TN,India,2019-10-22,ACTIVE
BR061,Vellore Bazaar,SOUTH,Vellore,TN,India,2019-07-04,ACTIVE
BR062,Shimoga Bazaar,SOUTH,Shimoga,KA,India,2017-04-18,ACTIVE
BR063,Mangalore Street,SOUTH,Mangalore,KA,India,2020-02-23,ACTIVE
BR064,Varanasi Junction,NORTH,Varanasi,UP,India,2020-10-15,ACTIVE
BR065,Varanasi Highway,NORTH,Varanasi,UP,India,2022-06-14,INACTIVE
BR066,Rohini Plaza,NORTH,Rohini,DL,India,2018-03-28,ACTIVE
BR067,Kollam Square,SOUTH,Kollam,KL,India,2015-07-05,ACTIVE
BR068,South Delhi Arcade,NORTH,South Delhi,DL,India,2020-02-09,INACTIVE
BR069,Asansol Heights,EAST,Asansol,WB,India,2024-03-01,ACTIVE
BR070,Jalandhar Square,NORTH,Jalandhar,PB,India,2025-02-27,ACTIVE
BR071,Asansol Heights,EAST,Asansol,WB,India,2017-08-10,ACTIVE
BR072,Rajkot Plaza,WEST,Rajkot,GJ,India,2025-01-18,INACTIVE
BR073,Prayagraj Street,NORTH,Prayagraj,UP,India,2025-04-08,ACTIVE
BR074,Nizamabad Arcade,SOUTH,Nizamabad,TS,India,2023-05-29,ACTIVE
BR075,Ajmer Plaza,NORTH,Ajmer,RJ,India,2020-03-07,ACTIVE
BR076,Jodhpur Street,NORTH,Jodhpur,RJ,India,2023-01-26,ACTIVE
BR077,Rohini Street,NORTH,Rohini,DL,India,2015-02-27,ACTIVE
BR078,Trichy Bazaar,SOUTH,Trichy,TN,India,2022-12-18,ACTIVE
BR079,Nashik Bazaar,WEST,Nashik,MH,India,2018-05-25,ACTIVE
BR080,Amritsar City Center,NORTH,Amritsar,PB,India,2020-07-01,ACTIVE
BR081,Ludhiana City Center,NORTH,Ludhiana,PB,India,2024-05-28,ACTIVE
BR082,West Delhi Heights,NORTH,West Delhi,DL,India,2021-12-23,ACTIVE
BR083,Varanasi Square,NORTH,Varanasi,UP,India,2016-06-14,ACTIVE
BR084,Ludhiana Road,NORTH,Ludhiana,PB,India,2022-01-21,INACTIVE
BR085,Udaipur City Center,NORTH,Udaipur,RJ,India,2021-10-23,ACTIVE
BR086,Varanasi Street,NORTH,Varanasi,UP,India,2022-10-15,ACTIVE
BR087,Ujjain Bazaar,CENTRAL,Ujjain,MP,India,2019-06-04,ACTIVE
BR088,Rajkot City Center,WEST,Rajkot,GJ,India,2020-10-17,ACTIVE
BR089,Rajkot Street,WEST,Rajkot,GJ,India,2018-11-26,ACTIVE
BR090,Kanpur Junction,NORTH,Kanpur,UP,India,2024-01-21,ACTIVE
BR091,Tirunelveli Heights,SOUTH,Tirunelveli,TN,India,2019-12-01,ACTIVE
BR092,Kanpur Heights,NORTH,Kanpur,UP,India,2023-02-04,ACTIVE
BR093,Jamnagar Square,WEST,Jamnagar,GJ,India,2025-11-10,INACTIVE
BR094,Jamnagar Highway,WEST,Jamnagar,GJ,India,2017-06-27,ACTIVE
BR095,Patiala Junction,NORTH,Patiala,PB,India,2023-05-29,ACTIVE
BR096,Kota Plaza,NORTH,Kota,RJ,India,2019-01-04,ACTIVE
BR097,Aurangabad Heights,WEST,Aurangabad,MH,India,2023-09-28,ACTIVE
BR098,Visakhapatnam Street,SOUTH,Visakhapatnam,AP,India,2017-09-27,ACTIVE
BR099,Ludhiana Plaza,NORTH,Ludhiana,PB,India,2021-06-27,ACTIVE
BR100,Vadodara Plaza,WEST,Vadodara,GJ,India,2024-02-20,ACTIVE
BR101,Thane Highway,WEST,Thane,MH,India,2018-02-05,ACTIVE
BR102,Nizamabad Street,SOUTH,Nizamabad,TS,India,2018-03-12,ACTIVE
BR103,Bikaner Highway,NORTH,Bikaner,RJ,India,2023-12-05,ACTIVE
BR104,Thane Heights,WEST,Thane,MH,India,2018-04-08,ACTIVE
BR105,Siliguri Road,EAST,Siliguri,WB,India,2022-01-19,ACTIVE
BR106,Patiala Road,NORTH,Patiala,PB,India,2024-11-04,ACTIVE
BR107,Amritsar Junction,NORTH,Amritsar,PB,India,2021-11-20,ACTIVE
BR108,Madurai Road,SOUTH,Madurai,TN,India,2018-01-05,ACTIVE
BR109,Coimbatore Street,SOUTH,Coimbatore,TN,India,2019-01-22,ACTIVE
BR110,Ghaziabad Arcade,NORTH,Ghaziabad,UP,India,2020-01-26,ACTIVE
BR111,West Delhi Square,NORTH,West Delhi,DL,India,2023-10-30,INACTIVE
BR112,Ludhiana Heights,NORTH,Ludhiana,PB,India,2015-07-06,INACTIVE
BR113,Indore Junction,CENTRAL,Indore,MP,India,2017-12-21,ACTIVE
BR114,Guntur Highway,SOUTH,Guntur,AP,India,2024-04-24,ACTIVE
BR115,Kota Square,NORTH,Kota,RJ,India,2023-09-26,ACTIVE
BR116,Warangal Bazaar,SOUTH,Warangal,TS,India,2025-11-05,ACTIVE
BR117,Asansol Road,EAST,Asansol,WB,India,2023-11-01,ACTIVE
BR118,Karimnagar Street,SOUTH,Karimnagar,TS,India,2023-10-23,ACTIVE
BR119,Amritsar Bazaar,NORTH,Amritsar,PB,India,2015-01-28,ACTIVE
BR120,Kanpur Road,NORTH,Kanpur,UP,India,2018-01-06,ACTIVE
BR121,Asansol Street,EAST,Asansol,WB,India,2019-11-10,ACTIVE
BR122,Jodhpur Highway,NORTH,Jodhpur,RJ,India,2022-11-27,ACTIVE
BR123,Ujjain Arcade,CENTRAL,Ujjain,MP,India,2022-03-29,ACTIVE
BR124,Gwalior Plaza,CENTRAL,Gwalior,MP,India,2015-11-04,ACTIVE
BR125,Meerut Arcade,NORTH,Meerut,UP,India,2023-07-16,ACTIVE
BR126,Vijayawada Road,SOUTH,Vijayawada,AP,India,2025-09-06,ACTIVE
BR127,Amritsar Plaza,NORTH,Amritsar,PB,India,2024-08-09,ACTIVE
BR128,Rohini Arcade,NORTH,Rohini,DL,India,2021-06-07,ACTIVE
BR129,Kanpur Heights,NORTH,Kanpur,UP,India,2022-09-03,ACTIVE
BR130,Mangalore Plaza,SOUTH,Mangalore,KA,India,2025-11-20,INACTIVE
BR131,Nizamabad Plaza,SOUTH,Nizamabad,TS,India,2022-09-22,INACTIVE
BR132,Rohini Square,NORTH,Rohini,DL,India,2023-08-21,ACTIVE
BR133,Coimbatore City Center,SOUTH,Coimbatore,TN,India,2021-03-27,ACTIVE
BR134,Rohini City Center,NORTH,Rohini,DL,India,2023-05-19,ACTIVE
BR135,Belgaum Bazaar,SOUTH,Belgaum,KA,India,2024-08-28,ACTIVE
BR136,West Delhi Plaza,NORTH,West Delhi,DL,India,2019-10-05,ACTIVE
BR137,Nellore Road,SOUTH,Nellore,AP,India,2017-08-21,ACTIVE
BR138,Dwarka Street,NORTH,Dwarka,DL,India,2022-02-01,ACTIVE
BR139,Vadodara Square,WEST,Vadodara,GJ,India,2022-09-01,ACTIVE
BR140,West Delhi Plaza,NORTH,West Delhi,DL,India,2024-08-09,ACTIVE
BR141,Shimoga City Center,SOUTH,Shimoga,KA,India,2015-06-05,ACTIVE
BR142,West Delhi Bazaar,NORTH,West Delhi,DL,India,2015-09-17,ACTIVE
BR143,Belgaum City Center,SOUTH,Belgaum,KA,India,2023-11-01,ACTIVE
BR144,Mysuru Arcade,SOUTH,Mysuru,KA,India,2020-03-17,ACTIVE
BR145,Siliguri Street,EAST,Siliguri,WB,India,2016-03-02,ACTIVE
BR146,Thane Heights,WEST,Thane,MH,India,2025-05-12,ACTIVE
BR147,Bhavnagar Square,WEST,Bhavnagar,GJ,India,2025-11-24,ACTIVE
BR148,Kollam City Center,SOUTH,Kollam,KL,India,2016-07-22,ACTIVE
BR149,Trichy Plaza,SOUTH,Trichy,TN,India,2022-05-17,ACTIVE
BR150,Madurai Junction,SOUTH,Madurai,TN,India,2024-06-06,ACTIVE
BR151,South Delhi Plaza,NORTH,South Delhi,DL,India,2024-05-16,ACTIVE
BR152,Vadodara Highway,WEST,Vadodara,GJ,India,2019-10-16,ACTIVE
BR153,Jalandhar Highway,NORTH,Jalandhar,PB,India,2015-06-19,ACTIVE
BR154,Asansol Square,EAST,Asansol,WB,India,2019-04-12,ACTIVE
BR155,Kota Highway,NORTH,Kota,RJ,India,2024-05-10,ACTIVE
BR156,Nellore City Center,SOUTH,Nellore,AP,India,2018-03-24,ACTIVE
BR157,Amritsar Square,NORTH,Amritsar,PB,India,2025-07-12,ACTIVE
BR158,Vellore Arcade,SOUTH,Vellore,TN,India,2018-10-09,ACTIVE
BR159,Madurai Square,SOUTH,Madurai,TN,India,2016-02-02,ACTIVE
BR160,Rohini Plaza,NORTH,Rohini,DL,India,2016-11-11,ACTIVE
BR161,Thrissur Arcade,SOUTH,Thrissur,KL,India,2018-05-04,ACTIVE
BR162,Dwarka Plaza,NORTH,Dwarka,DL,India,2017-12-14,ACTIVE
BR163,Madurai Square,SOUTH,Madurai,TN,India,2020-06-13,ACTIVE
BR164,Thane City Center,WEST,Thane,MH,India,2024-07-01,ACTIVE
BR165,Ujjain Bazaar,CENTRAL,Ujjain,MP,India,2021-11-01,ACTIVE
BR166,West Delhi Plaza,NORTH,West Delhi,DL,India,2018-04-07,ACTIVE
BR167,Jodhpur Highway,NORTH,Jodhpur,RJ,India,2019-03-05,ACTIVE
BR168,Rohini City Center,NORTH,Rohini,DL,India,2015-08-04,ACTIVE
BR169,Kozhikode Road,SOUTH,Kozhikode,KL,India,2018-06-18,INACTIVE
BR170,Jabalpur Bazaar,CENTRAL,Jabalpur,MP,India,2022-08-03,ACTIVE
BR171,Bhavnagar Highway,WEST,Bhavnagar,GJ,India,2016-08-02,ACTIVE
BR172,Rohini Heights,NORTH,Rohini,DL,India,2016-09-14,ACTIVE
BR173,Trichy Plaza,SOUTH,Trichy,TN,India,2015-12-23,ACTIVE
BR174,Warangal Heights,SOUTH,Warangal,TS,India,2022-12-05,ACTIVE
BR175,Madurai Heights,SOUTH,Madurai,TN,India,2015-01-03,ACTIVE
BR176,Visakhapatnam Junction,SOUTH,Visakhapatnam,AP,India,2016-06-29,ACTIVE
BR177,Rohini City Center,NORTH,Rohini,DL,India,2020-01-24,ACTIVE
BR178,Salem Street,SOUTH,Salem,TN,India,2018-04-30,ACTIVE
BR179,Jabalpur Arcade,CENTRAL,Jabalpur,MP,India,2018-01-20,ACTIVE
BR180,Durgapur Heights,EAST,Durgapur,WB,India,2017-12-03,ACTIVE
BR181,Rohini Plaza,NORTH,Rohini,DL,India,2022-07-24,ACTIVE
BR182,West Delhi Bazaar,NORTH,West Delhi,DL,India,2023-09-02,ACTIVE
BR183,Kollam Street,SOUTH,Kollam,KL,India,2021-06-04,ACTIVE
BR184,Amritsar Road,NORTH,Amritsar,PB,India,2023-08-23,INACTIVE
BR185,Nagpur Junction,WEST,Nagpur,MH,India,2017-08-25,ACTIVE
BR186,Ajmer City Center,NORTH,Ajmer,RJ,India,2021-05-01,ACTIVE
BR187,Vellore Highway,SOUTH,Vellore,TN,India,2023-06-09,ACTIVE
BR188,Amritsar Square,NORTH,Amritsar,PB,India,2024-06-23,INACTIVE
BR189,Bikaner Bazaar,NORTH,Bikaner,RJ,India,2018-01-21,ACTIVE
BR190,Ujjain City Center,CENTRAL,Ujjain,MP,India,2024-08-13,ACTIVE
BR191,Rajkot Highway,WEST,Rajkot,GJ,India,2016-02-16,ACTIVE
BR192,South Delhi Heights,NORTH,South Delhi,DL,India,2017-02-03,INACTIVE
BR193,Thrissur Heights,SOUTH,Thrissur,KL,India,2018-05-04,ACTIVE
BR194,South Delhi City Center,NORTH,South Delhi,DL,India,2017-08-29,ACTIVE
BR195,West Delhi Road,NORTH,West Delhi,DL,India,2018-07-06,ACTIVE
BR196,Asansol Highway,EAST,Asansol,WB,India,2019-03-23,ACTIVE
BR197,Dwarka Heights,NORTH,Dwarka,DL,India,2015-12-31,ACTIVE
BR198,Dwarka Junction,NORTH,Dwarka,DL,India,2022-03-28,ACTIVE
BR199,Kollam Heights,SOUTH,Kollam,KL,India,2021-05-25,ACTIVE
BR200,Vellore City Center,SOUTH,Vellore,TN,India,2025-01-31,ACTIVE
BR201,Jodhpur Bazaar,NORTH,Jodhpur,RJ,India,2021-11-06,ACTIVE
BR202,Udaipur Heights,NORTH,Udaipur,RJ,India,2016-09-08,ACTIVE
BR203,Visakhapatnam Bazaar,SOUTH,Visakhapatnam,AP,India,2016-06-30,ACTIVE
BR204,Durgapur Arcade,EAST,Durgapur,WB,India,2021-03-11,ACTIVE
BR205,Jodhpur Bazaar,NORTH,Jodhpur,RJ,India,2019-03-10,ACTIVE
BR206,Prayagraj Square,NORTH,Prayagraj,UP,India,2025-09-25,ACTIVE
BR207,Shimoga Road,SOUTH,Shimoga,KA,India,2022-09-12,ACTIVE
BR208,Durgapur City Center,EAST,Durgapur,WB,India,2023-10-05,ACTIVE
BR209,Dwarka Road,NORTH,Dwarka,DL,India,2024-10-01,ACTIVE
BR210,Prayagraj Square,NORTH,Prayagraj,UP,India,2017-03-01,ACTIVE
BR211,Karimnagar Heights,SOUTH,Karimnagar,TS,India,2022-08-04,ACTIVE
BR212,Aurangabad Heights,WEST,Aurangabad,MH,India,2022-04-05,ACTIVE
BR213,Nashik Junction,WEST,Nashik,MH,India,2025-07-26,ACTIVE
BR214,Prayagraj Heights,NORTH,Prayagraj,UP,India,2018-02-05,ACTIVE
BR215,Asansol Street,EAST,Asansol,WB,India,2020-12-14,ACTIVE
BR216,Gwalior Plaza,CENTRAL,Gwalior,MP,India,2024-06-20,ACTIVE
BR217,Vijayawada Plaza,SOUTH,Vijayawada,AP,India,2023-12-18,ACTIVE
BR218,Gwalior City Center,CENTRAL,Gwalior,MP,India,2022-01-17,ACTIVE
BR219,Gwalior Plaza,CENTRAL,Gwalior,MP,India,2019-02-18,ACTIVE
BR220,Howrah Square,EAST,Howrah,WB,India,2016-12-19,ACTIVE
BR221,Shimoga Road,SOUTH,Shimoga,KA,India,2019-02-16,ACTIVE
BR222,Meerut Highway,NORTH,Meerut,UP,India,2016-09-27,INACTIVE
BR223,Amritsar Highway,NORTH,Amritsar,PB,India,2023-06-29,ACTIVE
BR224,Rohini Road,NORTH,Rohini,DL,India,2016-04-21,ACTIVE
BR225,Visakhapatnam City Center,SOUTH,Visakhapatnam,AP,India,2015-07-26,ACTIVE
BR226,Amritsar Square,NORTH,Amritsar,PB,India,2017-12-17,ACTIVE
BR227,Coimbatore Square,SOUTH,Coimbatore,TN,India,2015-06-25,ACTIVE
BR228,Ludhiana City Center,NORTH,Ludhiana,PB,India,2020-04-19,ACTIVE
BR229,Ludhiana Highway,NORTH,Ludhiana,PB,India,2021-08-03,ACTIVE
BR230,Solapur Arcade,WEST,Solapur,MH,India,2015-09-15,ACTIVE
BR231,Jalandhar Heights,NORTH,Jalandhar,PB,India,2015-02-13,ACTIVE
BR232,Madurai Highway,SOUTH,Madurai,TN,India,2023-12-15,ACTIVE
BR233,Ujjain Street,CENTRAL,Ujjain,MP,India,2025-07-18,ACTIVE
BR234,Vijayawada Heights,SOUTH,Vijayawada,AP,India,2025-07-25,ACTIVE
BR235,Rajkot Street,WEST,Rajkot,GJ,India,2020-05-28,ACTIVE
BR236,Howrah Heights,EAST,Howrah,WB,India,2016-06-18,INACTIVE
BR237,Dwarka Square,NORTH,Dwarka,DL,India,2023-02-24,ACTIVE
BR238,Nellore Highway,SOUTH,Nellore,AP,India,2016-10-09,ACTIVE
BR239,Warangal Heights,SOUTH,Warangal,TS,India,2023-06-13,ACTIVE
BR240,Patiala Junction,NORTH,Patiala,PB,India,2022-01-14,INACTIVE
BR241,Trichy Heights,SOUTH,Trichy,TN,India,2016-10-24,ACTIVE
BR242,Amritsar Road,NORTH,Amritsar,PB,India,2021-03-12,ACTIVE
BR243,Jamnagar Bazaar,WEST,Jamnagar,GJ,India,2022-11-09,ACTIVE
BR244,Dwarka Street,NORTH,Dwarka,DL,India,2021-07-05,ACTIVE
BR245,South Delhi Bazaar,NORTH,South Delhi,DL,India,2016-11-29,ACTIVE
BR246,Siliguri Heights,EAST,Siliguri,WB,India,2024-02-13,ACTIVE
BR247,Gwalior Bazaar,CENTRAL,Gwalior,MP,India,2016-04-26,ACTIVE
BR248,Bhavnagar Square,WEST,Bhavnagar,GJ,India,2025-07-26,ACTIVE
BR249,Salem Square,SOUTH,Salem,TN,India,2019-09-11,ACTIVE
BR250,Madurai Road,SOUTH,Madurai,TN,India,2017-04-13,ACTIVE
BR251,Jodhpur Bazaar,NORTH,Jodhpur,RJ,India,2024-09-05,ACTIVE
BR252,Kollam Plaza,SOUTH,Kollam,KL,India,2016-10-16,ACTIVE
BR253,Siliguri Bazaar,EAST,Siliguri,WB,India,2017-12-26,ACTIVE
BR254,Nellore City Center,SOUTH,Nellore,AP,India,2025-10-05,ACTIVE
BR255,Nizamabad Arcade,SOUTH,Nizamabad,TS,India,2021-03-23,ACTIVE
BR256,Jodhpur Street,NORTH,Jodhpur,RJ,India,2021-01-30,ACTIVE
BR257,Howrah Bazaar,EAST,Howrah,WB,India,2022-07-26,ACTIVE
BR258,Guntur City Center,SOUTH,Guntur,AP,India,2024-02-10,INACTIVE
BR259,Kolhapur Arcade,WEST,Kolhapur,MH,India,2020-12-05,ACTIVE
BR260,Thane Square,WEST,Thane,MH,India,2025-02-22,INACTIVE
BR261,West Delhi Heights,NORTH,West Delhi,DL,India,2019-11-17,INACTIVE
BR262,Ghaziabad Highway,NORTH,Ghaziabad,UP,India,2022-01-09,ACTIVE
BR263,Patiala Bazaar,NORTH,Patiala,PB,India,2019-03-26,ACTIVE
BR264,Jabalpur City Center,CENTRAL,Jabalpur,MP,India,2022-03-12,ACTIVE
BR265,Udaipur Plaza,NORTH,Udaipur,RJ,India,2021-12-06,ACTIVE
BR266,South Delhi Bazaar,NORTH,South Delhi,DL,India,2018-07-03,INACTIVE
BR267,Rohini Street,NORTH,Rohini,DL,India,2016-01-03,ACTIVE
BR268,Nashik Road,WEST,Nashik,MH,India,2017-12-17,ACTIVE
BR269,Asansol Heights,EAST,Asansol,WB,India,2016-09-11,ACTIVE
BR270,Thane Heights,WEST,Thane,MH,India,2022-08-29,ACTIVE
BR271,Warangal City Center,SOUTH,Warangal,TS,India,2025-07-24,ACTIVE
BR272,Salem Heights,SOUTH,Salem,TN,India,2022-11-17,ACTIVE
BR273,Ujjain Arcade,CENTRAL,Ujjain,MP,India,2021-04-21,ACTIVE
BR274,Kolhapur Plaza,WEST,Kolhapur,MH,India,2016-09-25,ACTIVE
BR275,Nagpur Plaza,WEST,Nagpur,MH,India,2016-10-01,ACTIVE
BR276,Siliguri Square,EAST,Siliguri,WB,India,2015-03-26,ACTIVE
BR277,Jabalpur Street,CENTRAL,Jabalpur,MP,India,2022-06-10,ACTIVE
BR278,Howrah Heights,EAST,Howrah,WB,India,2017-05-12,ACTIVE
BR279,Mysuru Arcade,SOUTH,Mysuru,KA,India,2019-12-11,ACTIVE
BR280,Bhavnagar City Center,WEST,Bhavnagar,GJ,India,2017-08-04,ACTIVE
BR281,Mangalore Plaza,SOUTH,Mangalore,KA,India,2020-01-27,ACTIVE
BR282,Karimnagar Junction,SOUTH,Karimnagar,TS,India,2019-05-19,ACTIVE
BR283,Bhavnagar Arcade,WEST,Bhavnagar,GJ,India,2022-01-31,ACTIVE
BR284,Ujjain Plaza,CENTRAL,Ujjain,MP,India,2022-10-24,INACTIVE
BR285,South Delhi Street,NORTH,South Delhi,DL,India,2020-02-09,ACTIVE
BR286,Patiala Heights,NORTH,Patiala,PB,India,2022-03-09,ACTIVE
BR287,Indore City Center,CENTRAL,Indore,MP,India,2021-04-30,ACTIVE
BR288,Thane Junction,WEST,Thane,MH,India,2016-08-14,ACTIVE
BR289,Mysuru Bazaar,SOUTH,Mysuru,KA,India,2025-04-05,ACTIVE
BR290,Kolhapur Junction,WEST,Kolhapur,MH,India,2022-07-06,ACTIVE
BR291,Warangal Street,SOUTH,Warangal,TS,India,2020-03-12,ACTIVE
BR292,Gwalior Junction,CENTRAL,Gwalior,MP,India,2025-08-02,ACTIVE
BR293,Kanpur City Center,NORTH,Kanpur,UP,India,2024-01-09,ACTIVE
BR294,Asansol Square,EAST,Asansol,WB,India,2024-12-27,ACTIVE
BR295,Mysuru Heights,SOUTH,Mysuru,KA,India,2022-08-24,INACTIVE
BR296,Udaipur Square,NORTH,Udaipur,RJ,India,2021-04-20,ACTIVE
BR297,Jodhpur Arcade,NORTH,Jodhpur,RJ,India,2015-10-12,ACTIVE
BR298,Visakhapatnam Junction,SOUTH,Visakhapatnam,AP,India,2023-08-27,INACTIVE
BR299,Kanpur City Center,NORTH,Kanpur,UP,India,2023-02-15,ACTIVE
BR300,Warangal Road,SOUTH,Warangal,TS,India,2025-01-14,ACTIVE
BR301,Jabalpur City Center,CENTRAL,Jabalpur,MP,India,2024-04-08,ACTIVE
BR302,Karimnagar Square,SOUTH,Karimnagar,TS,India,2016-06-10,ACTIVE
BR303,Bikaner Arcade,NORTH,Bikaner,RJ,India,2016-02-16,ACTIVE
BR304,Mysuru Heights,SOUTH,Mysuru,KA,India,2020-11-19,ACTIVE
BR305,Ujjain Heights,CENTRAL,Ujjain,MP,India,2020-05-01,ACTIVE
BR306,Warangal Square,SOUTH,Warangal,TS,India,2023-01-28,ACTIVE
BR307,Jodhpur Arcade,NORTH,Jodhpur,RJ,India,2015-01-15,ACTIVE
BR308,Rajkot Road,WEST,Rajkot,GJ,India,2023-12-16,ACTIVE
BR309,Ludhiana Junction,NORTH,Ludhiana,PB,India,2020-10-30,INACTIVE
BR310,Karimnagar Heights,SOUTH,Karimnagar,TS,India,2018-02-23,ACTIVE
BR311,West Delhi Road,NORTH,West Delhi,DL,India,2015-08-29,ACTIVE
BR312,Dwarka Road,NORTH,Dwarka,DL,India,2024-12-20,ACTIVE
BR313,Nagpur Square,WEST,Nagpur,MH,India,2020-07-29,ACTIVE
BR314,South Delhi Bazaar,NORTH,South Delhi,DL,India,2021-04-22,ACTIVE
BR315,Bikaner Plaza,NORTH,Bikaner,RJ,India,2023-09-28,ACTIVE
BR316,Varanasi Plaza,NORTH,Varanasi,UP,India,2015-06-06,ACTIVE
BR317,Jalandhar Street,NORTH,Jalandhar,PB,India,2015-04-07,ACTIVE
BR318,Patiala Junction,NORTH,Patiala,PB,India,2022-06-07,ACTIVE
BR319,Coimbatore Highway,SOUTH,Coimbatore,TN,India,2016-12-14,ACTIVE
BR320,Mysuru Square,SOUTH,Mysuru,KA,India,2025-06-29,ACTIVE
